geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US21111011516,"Census Tract 115.16, Jefferson, KY",4282,236,4091,276,3467,276,543,200,0,11,10,14,0,11,0,11,71,60,10,17,61,57,191,129,182,129,0,11,0,11,0,11,0,11,9,15,0,11,0,11,0,11
14000US21111011517,"Census Tract 115.17, Jefferson, KY",5708,469,5452,447,4217,450,680,106,0,16,365,354,0,16,0,16,190,162,0,16,190,162,256,155,134,116,0,16,0,16,0,16,0,16,70,81,52,46,52,46,0,16
14000US21111011518,"Census Tract 115.18, Jefferson, KY",2416,156,2396,158,2095,151,232,200,0,11,39,40,0,11,0,11,30,41,0,11,30,41,20,21,12,17,5,7,0,11,0,11,0,11,3,5,0,11,0,11,0,11
14000US21111011519,"Census Tract 115.19, Jefferson, KY",5560,411,5479,405,4389,374,684,354,0,16,89,91,0,16,91,142,226,105,0,16,226,105,81,91,81,91,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
14000US21111011520,"Census Tract 115.20, Jefferson, KY",4368,268,4296,277,3901,304,248,214,0,11,117,100,9,16,0,11,21,28,0,11,21,28,72,54,32,27,0,11,5,9,0,11,0,11,7,12,28,41,28,41,0,11
14000US21111011601,"Census Tract 116.01, Jefferson, KY",7837,482,7813,480,6735,408,558,190,0,16,392,192,0,16,0,16,128,99,12,22,116,93,24,30,15,23,0,16,0,16,9,16,0,16,0,16,0,16,0,16,0,16
14000US21111011603,"Census Tract 116.03, Jefferson, KY",4733,380,4561,399,4186,369,276,247,0,11,52,68,0,11,0,11,47,57,0,11,47,57,172,111,146,105,0,11,0,11,0,11,0,11,26,44,0,11,0,11,0,11
14000US21111011604,"Census Tract 116.04, Jefferson, KY",2363,127,2315,116,2310,116,0,11,0,11,5,8,0,11,0,11,0,11,0,11,0,11,48,53,38,52,0,11,10,16,0,11,0,11,0,11,0,11,0,11,0,11
14000US21111011706,"Census Tract 117.06, Jefferson, KY",3671,257,3435,309,3021,323,277,226,0,11,30,34,0,11,0,11,107,72,0,11,107,72,236,138,201,119,7,11,0,11,0,11,0,11,28,51,0,11,0,11,0,11
14000US21111011707,"Census Tract 117.07, Jefferson, KY",6731,557,6360,597,4445,516,1437,409,12,25,416,484,0,16,33,53,17,38,0,16,17,38,371,228,303,213,68,110,0,16,0,16,0,16,0,16,0,16,0,16,0,16
14000US21111011708,"Census Tract 117.08, Jefferson, KY",5958,293,5271,328,4437,358,651,214,0,16,169,135,0,16,0,16,14,23,0,16,14,23,687,329,651,338,0,16,0,16,0,16,0,16,36,85,0,16,0,16,0,16
14000US21111011709,"Census Tract 117.09, Jefferson, KY",5363,354,5298,362,4674,387,499,132,0,16,50,61,0,16,0,16,75,53,0,16,75,53,65,49,62,48,0,16,0,16,0,16,0,16,3,8,0,16,0,16,0,16
14000US21111011710,"Census Tract 117.10, Jefferson, KY",2902,298,2819,318,2366,344,367,61,0,11,15,24,0,11,0,11,71,57,0,11,71,57,83,66,83,66,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
14000US21111011711,"Census Tract 117.11, Jefferson, KY",6005,423,5700,449,4842,550,647,302,0,16,140,140,14,22,0,16,57,58,0,16,57,58,305,220,163,161,0,16,82,133,0,16,0,16,0,16,60,97,0,16,60,97
14000US21111011712,"Census Tract 117.12, Jefferson, KY",4919,302,4680,358,3570,371,602,208,0,11,436,299,0,11,45,72,27,45,0,11,27,45,239,117,188,109,22,34,0,11,0,11,0,11,24,29,5,9,5,9,0,11
14000US21111011713,"Census Tract 117.13, Jefferson, KY",2555,345,2460,338,2025,245,382,219,0,11,12,26,0,11,0,11,41,55,8,13,33,54,95,132,18,21,0,11,0,11,0,11,0,11,77,126,0,11,0,11,0,11
14000US21111011800,"Census Tract 118, Jefferson, KY",2561,248,2317,232,1580,253,554,188,18,30,99,82,0,11,9,15,57,54,0,11,57,54,244,179,156,120,0,11,0,11,0,11,0,11,0,11,88,155,0,11,88,155
14000US21111011901,"Census Tract 119.01, Jefferson, KY",930,186,152,62,134,61,18,30,0,11,0,11,0,11,0,11,0,11,0,11,0,11,778,214,744,218,0,11,0,11,0,11,0,11,34,44,0,11,0,11,0,11
14000US21111011904,"Census Tract 119.04, Jefferson, KY",2533,302,1911,301,1363,178,416,201,29,45,34,42,0,11,7,12,62,68,0,11,62,68,622,180,580,180,0,11,0,11,0,11,0,11,12,19,30,44,0,11,30,44
14000US21111011905,"Census Tract 119.05, Jefferson, KY",7621,461,6436,647,4780,630,1330,398,15,23,46,48,0,16,0,16,265,198,0,16,265,198,1185,524,984,516,45,75,0,16,0,16,0,16,124,124,32,42,32,42,0,16
14000US21111011906,"Census Tract 119.06, Jefferson, KY",2788,328,2071,298,1544,237,488,175,0,11,0,11,0,11,0,11,39,41,0,11,39,41,717,237,542,333,12,18,0,11,0,11,0,11,163,201,0,11,0,11,0,11
14000US21111011907,"Census Tract 119.07, Jefferson, KY",4849,359,4557,308,3880,304,463,122,5,7,126,158,0,11,0,11,83,85,9,14,74,84,292,212,284,212,0,11,0,11,0,11,0,11,0,11,8,13,0,11,8,13
14000US21111012001,"Census Tract 120.01, Jefferson, KY",3529,474,3001,323,2939,326,34,42,0,11,2,5,0,11,0,11,26,28,0,11,26,28,528,489,528,489,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
14000US21111012002,"Census Tract 120.02, Jefferson, KY",5716,586,4888,568,4317,557,259,138,0,16,165,154,0,16,0,16,147,151,0,16,147,151,828,360,710,339,0,16,0,16,0,16,0,16,118,205,0,16,0,16,0,16
14000US21111012003,"Census Tract 120.03, Jefferson, KY",2971,473,2775,406,2493,379,245,218,0,11,0,11,0,11,0,11,37,46,0,11,37,46,196,156,184,154,0,11,0,11,0,11,0,11,12,18,0,11,0,11,0,11
14000US21111012103,"Census Tract 121.03, Jefferson, KY",3491,257,3434,253,3171,324,191,180,0,11,17,19,0,11,0,11,55,54,0,11,55,54,57,57,45,54,12,20,0,11,0,11,0,11,0,11,0,11,0,11,0,11
14000US21111012104,"Census Tract 121.04, Jefferson, KY",3812,448,3703,425,3124,405,389,304,0,11,0,11,0,11,0,11,190,124,0,11,190,124,109,124,109,124,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
14000US21111012105,"Census Tract 121.05, Jefferson, KY",4795,407,4625,391,3816,289,654,291,0,11,52,50,0,11,18,28,85,86,28,33,57,79,170,168,63,48,0,11,0,11,0,11,0,11,107,166,0,11,0,11,0,11
14000US21111012106,"Census Tract 121.06, Jefferson, KY",8307,671,7927,688,6603,689,1050,620,0,16,37,33,41,61,0,16,196,147,0,16,196,147,380,303,306,289,18,29,0,16,0,16,0,16,56,91,0,16,0,16,0,16
14000US21111012107,"Census Tract 121.07, Jefferson, KY",5343,662,5331,664,5196,652,36,42,0,16,15,24,0,16,0,16,84,78,0,16,84,78,12,19,0,16,0,16,0,16,0,16,0,16,12,19,0,16,0,16,0,16
14000US21111012202,"Census Tract 122.02, Jefferson, KY",6667,583,5972,574,4437,592,1049,398,0,16,171,152,0,16,0,16,315,231,0,16,315,231,695,330,612,289,0,16,0,16,0,16,0,16,0,16,83,116,0,16,83,116
14000US21111012203,"Census Tract 122.03, Jefferson, KY",6085,486,6001,485,5220,521,510,170,0,16,199,223,0,16,0,16,72,73,0,16,72,73,84,56,45,41,0,16,19,30,0,16,0,16,9,16,11,18,0,16,11,18
14000US21111012204,"Census Tract 122.04, Jefferson, KY",4533,456,4409,464,3111,391,1105,366,0,11,0,11,0,11,93,142,100,76,0,11,100,76,124,86,70,52,0,11,0,11,0,11,0,11,0,11,54,64,0,11,54,64
14000US21111012302,"Census Tract 123.02, Jefferson, KY",5493,583,4956,730,3542,556,1059,410,0,16,77,93,0,16,0,16,278,224,0,16,278,224,537,329,528,326,9,15,0,16,0,16,0,16,0,16,0,16,0,16,0,16
14000US21111012406,"Census Tract 124.06, Jefferson, KY",5149,491,4987,518,4335,560,512,283,0,16,69,77,0,16,0,16,71,74,0,16,71,74,162,134,145,131,17,28,0,16,0,16,0,16,0,16,0,16,0,16,0,16
